training_seed,seed,episode_return,success,steps,action_energy,final_position
7,2099,-0.0010366134691358001,False,999,0.010366134691357946,-0.5229801535606384
7,2100,-0.0005071593860639325,False,999,0.005071593860639317,-0.5233897566795349
7,2101,-0.0015997999447965264,False,999,0.015997999447965195,-0.523102879524231
7,2102,-0.001294228226979592,False,999,0.01294228226979584,-0.5232884287834167
7,2103,-0.005626878179279587,False,999,0.056268781792795784,-0.5285427570343018
7,2104,-0.001665689423523443,False,999,0.016656894235234376,-0.523283064365387
7,2105,-0.005319141199026924,False,999,0.053191411990269055,-0.5279905796051025
7,2106,-0.000511684526829781,False,999,0.005116845268297814,-0.5230175256729126
7,2107,-0.0004121188468095041,False,999,0.004121188468095028,-0.5232743620872498
7,2108,-0.0005009166051393972,False,999,0.005009166051393968,-0.5230252742767334
7,2109,-0.0007700320862343409,False,999,0.007700320862343417,-0.5234495401382446
7,2110,-0.0004979733592361352,False,999,0.004979733592361345,-0.5230276584625244
7,2111,-0.0017765744441599256,False,999,0.0177657444415992,-0.5233595967292786
7,2112,-0.0018185403926218044,False,999,0.01818540392621797,-0.522939145565033
7,2113,-0.0004144849542010616,False,999,0.004144849542010617,-0.5231353640556335
7,2114,-0.0031793520754237886,False,999,0.03179352075423808,-0.524753987789154
7,2115,-0.000495932132258101,False,999,0.004959321322581014,-0.5230288505554199
7,2116,-0.0034338948132422195,False,999,0.03433894813242229,-0.5250771641731262
7,2117,-0.00042808200217221573,False,999,0.004280820021722152,-0.5233089327812195
7,2118,-0.00046199743166639405,False,999,0.004619974316663944,-0.5233535170555115
7,2119,-0.0015506425658914761,False,999,0.015506425658914691,-0.5231358408927917
7,2120,-0.0021322948123680924,False,999,0.021322948123680862,-0.5226662158966064
7,2121,-0.0005583086184290779,False,999,0.005583086184290786,-0.5229904055595398
7,2122,-0.001652684798791548,False,999,0.016526847987915424,-0.5232743620872498
7,2123,-0.0007574987965654247,False,999,0.007574987965654247,-0.5234502553939819
7,2124,-0.0004114185214536465,False,999,0.00411418521453647,-0.5231443047523499
7,2125,-0.00040422955010741983,False,999,0.004042295501074165,-0.5231717824935913
42,2026,97.9748032056739,True,418,20.251967943261025,0.4666087031364441
42,2027,98.10672471367036,True,344,18.932752863296372,0.4666087031364441
42,2028,98.5365178297015,True,561,14.634821702985002,0.4634631276130676
42,2029,98.14265079525066,True,379,18.573492047493318,0.4666087031364441
42,2030,97.75154132560415,True,636,22.48458674395849,0.4666087031364441
42,2031,98.50190646880681,True,560,14.98093531193183,0.4579993486404419
42,2032,98.3755615463992,True,596,16.244384536008102,0.47801637649536133
42,2033,98.42496514152457,True,346,15.75034858475437,0.4697229266166687
42,2034,98.29620567395284,True,342,17.037943260471565,0.4666087031364441
42,2035,97.90472474271726,True,420,20.952752572827375,0.4666087031364441
42,2036,98.38598970406602,True,307,16.140102959339753,0.4666087031364441
42,2037,98.69634647249431,True,310,13.0365352750569,0.46226900815963745
42,2038,98.11161093890064,True,451,18.88389061099362,0.4666087031364441
42,2039,98.53867382969327,True,453,14.613261703067325,0.47258445620536804
42,2040,97.81815998258247,True,459,21.818400174175203,0.4666087031364441
42,2041,98.02882330622813,True,523,19.711766937718703,0.4666087031364441
42,2042,97.91086892295927,True,596,20.891310770407248,0.4666087031364441
42,2043,97.91113131746597,True,386,20.8886868253402,0.4666087031364441
42,2044,97.83234267016564,True,986,21.676573298343563,0.4666087031364441
42,2045,98.6146413301392,True,309,13.85358669860809,0.45861396193504333
42,2046,97.82107067927484,True,704,21.789293207251628,0.4666087031364441
42,2047,97.66238198479941,True,744,23.37618015200593,0.4666087031364441
42,2048,98.25207638634744,True,378,17.479236136525575,0.4666087031364441
42,2049,97.74799068182392,True,566,22.520093181760704,0.4666087031364441
42,2050,97.85822060236181,True,388,21.417793976381915,0.4666087031364441
42,2051,98.2290193684975,True,521,17.70980631502489,0.4666087031364441
42,2052,98.2198999756352,True,557,17.80100024364802,0.4666087031364441
42,2053,98.31799823033597,True,378,16.82001769664032,0.4666087031364441
42,2054,97.85192747433196,True,668,21.48072525668037,0.4666087031364441
42,2055,98.3939151314804,True,382,16.060848685195925,0.46542447805404663
42,2056,97.86640340983485,True,388,21.335965901651573,0.4666087031364441
42,2057,98.43535630288169,True,308,15.646436971183194,0.4666087031364441
42,2058,97.83170429459287,True,528,21.68295705407134,0.4666087031364441
42,2059,97.76095418666685,True,496,22.390458133331386,0.4666087031364441
42,2060,98.3646960224528,True,306,16.353039775471924,0.4666087031364441
42,2061,97.7558436970234,True,427,22.441563029766076,0.4666087031364441
42,2062,98.76915631760879,True,313,12.308436823912105,0.4566967189311981
42,2063,98.24697699409582,True,486,17.53023005904182,0.4666087031364441
42,2064,98.17223715378998,True,450,18.27762846210017,0.4666087031364441
42,2065,98.38203897792589,True,381,16.179610220741107,0.4666087031364441
42,2066,98.11454945157428,True,344,18.85450548425718,0.4666087031364441
42,2067,97.94838407751232,True,384,20.516159224876755,0.4666087031364441
