policy,seed,episode_return,success,steps,action_energy,max_position,final_position
bang_bang,2044,92.10000000000002,True,79,79.0,0.47480860352516174,0.47480860352516174
bang_bang,2045,92.00000000000001,True,80,80.0,0.4507409930229187,0.4507409930229187
bang_bang,2046,92.20000000000002,True,78,78.0,0.4588899612426758,0.4588899612426758
bang_bang,2047,92.10000000000002,True,79,79.0,0.47792184352874756,0.47792184352874756
bang_bang,2048,91.80000000000001,True,82,82.0,0.4520591199398041,0.4520591199398041
bang_bang,2049,92.10000000000002,True,79,79.0,0.4989114999771118,0.4989114999771118
bang_bang,2050,91.50000000000001,True,85,85.0,0.5125317573547363,0.5125317573547363
bang_bang,2051,92.00000000000001,True,80,80.0,0.4953841269016266,0.4953841269016266
bang_bang,2052,92.20000000000002,True,78,78.0,0.452725887298584,0.452725887298584
bang_bang,2053,91.80000000000001,True,82,82.0,0.45620205998420715,0.45620205998420715
bang_bang,2054,92.10000000000002,True,79,79.0,0.47916632890701294,0.47916632890701294
bang_bang,2055,91.80000000000001,True,82,82.0,0.5068517327308655,0.5068517327308655
bang_bang,2056,91.60000000000002,True,84,84.0,0.4502687454223633,0.4502687454223633
bang_bang,2057,92.30000000000001,True,77,77.0,0.4507409930229187,0.4507409930229187
bang_bang,2058,92.00000000000001,True,80,80.0,0.49557897448539734,0.49557897448539734
bang_bang,2059,92.20000000000002,True,78,78.0,0.47321873903274536,0.47321873903274536
bang_bang,2060,92.40000000000002,True,76,76.0,0.4507409930229187,0.4507409930229187
bang_bang,2061,92.10000000000002,True,79,79.0,0.48916298151016235,0.48916298151016235
bang_bang,2062,91.60000000000002,True,84,84.0,0.4507409930229187,0.4507409930229187
bang_bang,2063,92.10000000000002,True,79,79.0,0.4922284781932831,0.4922284781932831
bang_bang,2064,91.90000000000002,True,81,81.0,0.5071694254875183,0.5071694254875183
bang_bang,2065,91.80000000000001,True,82,82.0,0.5064098834991455,0.5064098834991455
bang_bang,2066,92.10000000000002,True,79,79.0,0.4805028736591339,0.4805028736591339
bang_bang,2067,91.60000000000002,True,84,84.0,0.45691972970962524,0.45691972970962524
bang_bang,2068,91.70000000000002,True,83,83.0,0.5074834227561951,0.5074834227561951
bang_bang,2069,92.20000000000002,True,78,78.0,0.4797897934913635,0.4797897934913635
bang_bang,2070,92.20000000000002,True,78,78.0,0.46743160486221313,0.46743160486221313
bang_bang,2071,92.00000000000001,True,80,80.0,0.4507409930229187,0.4507409930229187
bang_bang,2072,92.20000000000002,True,78,78.0,0.47480934858322144,0.47480934858322144
bang_bang,2073,92.40000000000002,True,76,76.0,0.4507409930229187,0.4507409930229187
bang_bang,2074,92.10000000000002,True,79,79.0,0.4937888979911804,0.4937888979911804
bang_bang,2075,92.00000000000001,True,80,80.0,0.49425840377807617,0.49425840377807617
bang_bang,2076,92.10000000000002,True,79,79.0,0.4842182695865631,0.4842182695865631
bang_bang,2077,92.40000000000002,True,76,76.0,0.4507409930229187,0.4507409930229187
bang_bang,2078,92.10000000000002,True,79,79.0,0.47868648171424866,0.47868648171424866
bang_bang,2079,92.10000000000002,True,79,79.0,0.48048684000968933,0.48048684000968933
bang_bang,2080,92.20000000000002,True,78,78.0,0.46736693382263184,0.46736693382263184
bang_bang,2081,92.10000000000002,True,79,79.0,0.498696506023407,0.498696506023407
bang_bang,2082,92.10000000000002,True,79,79.0,0.4751551151275635,0.4751551151275635
bang_bang,2083,92.40000000000002,True,76,76.0,0.4507409930229187,0.4507409930229187
bang_bang,2084,91.50000000000001,True,85,85.0,0.4506791830062866,0.4506791830062866
bang_bang,2085,92.00000000000001,True,80,80.0,0.4953899085521698,0.4953899085521698
bang_bang,2086,92.20000000000002,True,78,78.0,0.4603758454322815,0.4603758454322815
bang_bang,2087,92.20000000000002,True,78,78.0,0.4582824409008026,0.4582824409008026
bang_bang,2088,92.20000000000002,True,78,78.0,0.47614797949790955,0.47614797949790955
bang_bang,2089,92.20000000000002,True,78,78.0,0.4656027555465698,0.4656027555465698
bang_bang,2090,92.10000000000002,True,79,79.0,0.47887665033340454,0.47887665033340454
bang_bang,2091,92.10000000000002,True,79,79.0,0.4949074387550354,0.4949074387550354
bang_bang,2092,91.80000000000001,True,82,82.0,0.5096189379692078,0.5096189379692078
bang_bang,2093,92.30000000000001,True,77,77.0,0.4507409930229187,0.4507409930229187
bang_bang,2094,92.10000000000002,True,79,79.0,0.49163347482681274,0.49163347482681274
bang_bang,2095,91.90000000000002,True,81,81.0,0.4507409930229187,0.4507409930229187
bang_bang,2096,92.10000000000002,True,79,79.0,0.4889415204524994,0.4889415204524994
bang_bang,2097,92.20000000000002,True,78,78.0,0.46591252088546753,0.46591252088546753
bang_bang,2098,92.20000000000002,True,78,78.0,0.46046343445777893,0.46046343445777893
bang_bang,2099,92.00000000000001,True,80,80.0,0.49555253982543945,0.49555253982543945
bang_bang,2100,92.20000000000002,True,78,78.0,0.47713199257850647,0.47713199257850647
bang_bang,2101,92.20000000000002,True,78,78.0,0.46734941005706787,0.46734941005706787
bang_bang,2102,92.10000000000002,True,79,79.0,0.4869781732559204,0.4869781732559204
bang_bang,2103,92.30000000000001,True,77,77.0,0.4507409930229187,0.4507409930229187
bang_bang,2104,91.90000000000002,True,81,81.0,0.5066412687301636,0.5066412687301636
bang_bang,2105,92.20000000000002,True,78,78.0,0.4507409930229187,0.4507409930229187
bang_bang,2106,92.10000000000002,True,79,79.0,0.47567451000213623,0.47567451000213623
bang_bang,2107,92.10000000000002,True,79,79.0,0.49906399846076965,0.49906399846076965
bang_bang,2108,92.10000000000002,True,79,79.0,0.4752538502216339,0.4752538502216339
bang_bang,2109,92.20000000000002,True,78,78.0,0.4624772071838379,0.4624772071838379
bang_bang,2110,92.10000000000002,True,79,79.0,0.4751322567462921,0.4751322567462921
bang_bang,2111,91.90000000000002,True,81,81.0,0.5055328607559204,0.5055328607559204
bang_bang,2112,92.20000000000002,True,78,78.0,0.46074602007865906,0.46074602007865906
bang_bang,2113,92.20000000000002,True,78,78.0,0.4572049081325531,0.4572049081325531
bang_bang,2114,91.70000000000002,True,83,83.0,0.5079373717308044,0.5079373717308044
bang_bang,2115,92.10000000000002,True,79,79.0,0.47504642605781555,0.47504642605781555
bang_bang,2116,91.70000000000002,True,83,83.0,0.4528267979621887,0.4528267979621887
bang_bang,2117,92.10000000000002,True,79,79.0,0.4963323473930359,0.4963323473930359
